["port 1","LEFT"]
["port 2","LEFT"]
["port 3","LEFT"]
["port 4","RIGHT"]
("port 1","mode 1",1,"port 1",1,"transmission")
(8, 3)
1.8737028625000000e+14 9.2335041861203867e-04 -1.4201633748147360e+00
1.8915476516666666e+14 1.0062520714058372e-03 -3.9498707563831532e+00
1.9093924408333334e+14 1.0978078322174257e-03 -2.5316048569260352e+00
1.9272372300000000e+14 5.3003508954073343e-04 -3.8896851012503453e-01
1.9450820191666666e+14 3.2912217619058366e-04 1.9259766374398601e+00
1.9629268083333331e+14 5.7401815790974987e-04 -1.0846637056762392e+00
1.9807715975000000e+14 9.1672296314755436e-04 1.1325033804130966e-01
1.9986163866666666e+14 3.0851285301358814e-04 3.4351863280817907e-01
("port 1","mode 1",1,"port 2",1,"transmission")
(8, 3)
1.8737028625000000e+14 9.1867947681959650e-01 1.0405159450980545e-01
1.8915476516666666e+14 9.2658237636376328e-01 1.9351489559469666e+00
1.9093924408333334e+14 9.3361872334945673e-01 3.7646623884647412e+00
1.9272372300000000e+14 9.3987196658045746e-01 5.5925209481150677e+00
1.9450820191666666e+14 9.4543560085666756e-01 7.4186512361194810e+00
1.9629268083333331e+14 9.5038964253298108e-01 9.2429663848791570e+00
1.9807715975000000e+14 9.5478891222820494e-01 1.1065413443155425e+01
1.9986163866666666e+14 9.5867304675154319e-01 1.2885961498025862e+01
("port 1","mode 1",1,"port 3",1,"transmission")
(8, 3)
1.8737028625000000e+14 3.1248278349102370e-03 -6.3759105147964179e-01
1.8915476516666666e+14 3.1496190720779107e-03 1.7623410884861450e+00
1.9093924408333334e+14 2.2122955656422088e-03 4.2836519392836321e+00
1.9272372300000000e+14 1.1410536589187700e-03 6.9147240161947643e+00
1.9450820191666666e+14 3.8506762423455972e-04 9.6010578261368060e+00
1.9629268083333331e+14 1.4831963178435072e-04 1.1219463685659193e+01
1.9807715975000000e+14 4.1238560451456571e-04 1.3546267408942834e+01
1.9986163866666666e+14 7.5530388150201291e-04 1.6263853313978057e+01
("port 1","mode 1",1,"port 4",1,"transmission")
(8, 3)
1.8737028625000000e+14 3.8986637619004794e-01 -3.3767459520422383e-01
1.8915476516666666e+14 3.7212413591645521e-01 1.6702081478036035e+00
1.9093924408333334e+14 3.5519434043217257e-01 3.6761139206026954e+00
1.9272372300000000e+14 3.3906785387777083e-01 5.6799671812792285e+00
1.9450820191666666e+14 3.2370396175762517e-01 7.6817260991883183e+00
1.9629268083333331e+14 3.0910036479952513e-01 9.6814324646444376e+00
1.9807715975000000e+14 2.9524018764996218e-01 1.1679007017852459e+01
1.9986163866666666e+14 2.8208584806898479e-01 1.3674424856579508e+01
("port 2","mode 1",1,"port 1",1,"transmission")
(8, 3)
1.8737028625000000e+14 9.1855902951770452e-01 1.0389017039821619e-01
1.8915476516666666e+14 9.2650333151457387e-01 1.9350238541274538e+00
1.9093924408333334e+14 9.3357233062538714e-01 3.7645689090582550e+00
1.9272372300000000e+14 9.3984659862376563e-01 5.5924527245482167e+00
1.9450820191666666e+14 9.4541910887603098e-01 7.4186026638452240e+00
1.9629268083333331e+14 9.5036994661435414e-01 9.2429338855171572e+00
1.9807715975000000e+14 9.5475481516938177e-01 1.1065392276797050e+01
1.9986163866666666e+14 9.5861403441588999e-01 1.2885946663687564e+01
("port 2","mode 1",1,"port 2",1,"transmission")
(8, 3)
1.8737028625000000e+14 9.4854030643624107e-04 -1.5639768326486156e+00
1.8915476516666666e+14 1.0089366997347742e-03 -3.8791955616655489e+00
1.9093924408333334e+14 1.1167129236838683e-03 -2.5542486961382460e+00
1.9272372300000000e+14 4.8510770069525071e-04 -4.6171605795667525e-01
1.9450820191666666e+14 2.9892719527907079e-04 1.9467179792122653e+00
1.9629268083333331e+14 5.4368292766252208e-04 -1.0459406916036800e+00
1.9807715975000000e+14 8.6853595544356815e-04 1.5306737897892073e-01
1.9986163866666666e+14 2.7835997643281524e-04 4.5447636645864098e-01
("port 2","mode 1",1,"port 3",1,"transmission")
(8, 3)
1.8737028625000000e+14 3.8987836707388507e-01 2.8037253398597231e+00
1.8915476516666666e+14 3.7213653184818085e-01 4.8116035978472045e+00
1.9093924408333334e+14 3.5520696868660362e-01 6.8175040073576669e+00
1.9272372300000000e+14 3.3908055171708940e-01 8.8213507016198118e+00
1.9450820191666666e+14 3.2371655192234972e-01 1.0823102319805935e+01
1.9629268083333331e+14 3.0911250534376766e-01 1.2822801372130977e+01
1.9807715975000000e+14 2.9525153822735078e-01 1.4820368806915541e+01
1.9986163866666666e+14 2.8209625159130314e-01 1.6815780021199750e+01
("port 2","mode 1",1,"port 4",1,"transmission")
(8, 3)
1.8737028625000000e+14 3.1193618041492374e-03 2.5044463533869235e+00
1.8915476516666666e+14 3.1602580765324839e-03 4.8967076479971379e+00
1.9093924408333334e+14 2.2090811910538987e-03 7.4017712592043612e+00
1.9272372300000000e+14 1.0943878849820094e-03 1.0006211398904666e+01
1.9450820191666666e+14 2.9972927251724265e-04 1.2701983189810672e+01
1.9629268083333331e+14 8.0390134832667012e-05 1.3778499939214310e+01
1.9807715975000000e+14 3.2301210977791497e-04 1.6644144592918639e+01
1.9986163866666666e+14 6.8804909160204673e-04 1.9468455610463312e+01
("port 3","mode 1",1,"port 1",1,"transmission")
(8, 3)
1.8737028625000000e+14 2.0280836458594249e-03 -3.2037127825920919e-01
1.8915476516666666e+14 1.7827476500788710e-03 1.6398464531660293e+00
1.9093924408333334e+14 1.3931820614776250e-03 3.7180436716132972e+00
1.9272372300000000e+14 1.0481230407397518e-03 5.9007243220915138e+00
1.9450820191666666e+14 7.3701126817336587e-04 8.1940199161522855e+00
1.9629268083333331e+14 5.2726108497184662e-04 1.0732929014982949e+01
1.9807715975000000e+14 5.0015816062553404e-04 1.3430907661587929e+01
1.9986163866666666e+14 6.2446384605522329e-04 1.5958427737250561e+01
("port 3","mode 1",1,"port 2",1,"transmission")
(8, 3)
1.8737028625000000e+14 3.8976588431541970e-01 2.8039729864818668e+00
1.8915476516666666e+14 3.7204138591977509e-01 4.8116360500343420e+00
1.9093924408333334e+14 3.5515407654937414e-01 6.8173551570574178e+00
1.9272372300000000e+14 3.3906145448226305e-01 8.8210563052501918e+00
1.9450820191666666e+14 3.2372379235923987e-01 1.0822749533146233e+01
